from,to,time,relationship,weight
fynn,vivaconagua,2,2,2
vivaconagua,fynn,2,2,2
fynn,toom,1,2,2
toom,fynn,1,2,2
fynn,jever,2,2,2
jever,fynn,2,2,2
fynn,berentzen,,2,2
berentzen,fynn,,2,2
fynn,ewe,2,2,2
ewe,fynn,2,2,2
fynn,tomorrow,,2,2
tomorrow,fynn,,2,2
fynn,aboutyou,2,2,2
aboutyou,fynn,2,2,2
tafel,fynn,,2,2
fynn,tafel,,2,2
vaay,fynn,1,2,2
fynn,vaay,1,2,2
stpauli,fynn,,2,2
fynn,stpauli,,2,2
nordpool,fynn,,2,2
fynn,nordpool,,2,2
ndr,fynn,,2,2
fynn,ndr,,2,2
greenlife,fynn,1,2,2
fynn,greenlife,1,2,2
funk,fynn,4,2,3
fynn,funk,4,2,3
fynn,agantty,,1,4
fynn,fkvv,,1,4
fynn,floss,,1,4
fynn,oderso,,1,4
fynn,texas,,1,4
fynn,twofingers,,1,4
fynn,kliemannsland,7,1,4
fynn,herrlich,,1,4
fynn,ldgg,,1,4
bottmann,herrlich,,1,4
bottmann,agantty,,1,4
tietjen,twofingers,,1,4
schaefer,kliemannsland,7,1,4
frank,kliemannsland,7,1,4
junker,kliemannsland,7,1,4
dahl,erdbeerhof,,6,4
dahl,karlsinvestions,,6,4
erdbeerhof,karlsinvestions,,4,4
dahl,kliemannsland,2,3,3
karlsinvestions,kliemannsland,2,3,3
illbruck,globaltactics,5,6,4
globaltactics,oderso,,2,1
globaltactics,aboutyou,,2,1
oderso,globaltactics,,2,1
aboutyou,globaltactics,,2,1
joko,kliemannsland,,3,3
daur,kliemannsland,,3,3
westermeyer,kliemannsland,,3,3
kantereit,kliemannsland,,3,3
imueller,kliemannsland,,3,3
vivaconagua,kliemannsland,,2,2
kliemannsland,vivaconagua,,2,2
seidel,vivaconagua,,6,4
haßfeld,toom,,6,4
reitze,jever,,6,4
schwegmann,berentzen,,6,4
dohler,ewe,,6,4
nureldin,tomorrow,,6,4
schweikart,tomorrow,,6,4
berndt,tomorrow,,6,4
betz,aboutyou,,6,4
tmueller,aboutyou,,6,4
wiese,aboutyou,,6,4
bruehl,tafel,,6,4
witte,vaay,,6,4
bornemann,stpauli,,6,4
geldern,stpauli,,6,4
drust,stpauli,,6,4
michael,stpauli,,6,4
urban,stpauli,,6,4
kunze,stpauli,,6,4
darell,nordpool,,6,4
rasmussen,funk,,6,4
klein,funk,,6,4
neumann,greenlife,,6,4
sanitycare,vaay,,4,4
sanitycare,fynn,1,2,2
fynn,sanitycare,1,2,2
sanitycare,haensel,,6,4
joko,fynn,,2,2
fynn,joko,,2,2
joko,schokowinterscheidt,,6,4
schokowinterscheidt,vivaconagua,,2,1
vivaconagua,schokowinterscheidt,,2,1
funk,kliemannsland,4,3,2
kliemannsland,funk,4,3,2
illbruck,fynn,,7,2
fynn,illbruck,,7,2
tmueller,fynn,2,7,2
fynn,tmueller,2,7,2
fynn,schwegmann,,7,2
schwegmann,fynn,,7,2
seidel,fynn,,7,2
haßfeld,fynn,,7,2
reitze,fynn,,7,2
dohler,fynn,2,7,2
nureldin,fynn,,7,2
schweikart,fynn,,7,2
berndt,fynn,,7,2
betz,fynn,2,7,2
fynn,seidel,,7,2
fynn,haßfeld,,7,2
fynn,reitze,,7,2
fynn,dohler,2,7,2
fynn,nureldin,,7,2
fynn,schweikart,,7,2
fynn,berndt,,7,2
fynn,betz,2,7,2
bottmann,fynn,,5,3
tietjen,fynn,,5,3
schaefer,fynn,7,5,3
frank,fynn,7,5,3
junker,fynn,7,5,3
dahl,fynn,2,7,2
fynn,bottmann,,5,3
fynn,tietjen,,5,3
fynn,schaefer,7,5,3
fynn,frank,7,5,3
fynn,junker,7,5,3
fynn,dahl,2,7,2
daur,fynn,,7,2
westermeyer,fynn,,7,2
kantereit,fynn,,7,2
imueller,fynn,,7,2
fynn,daur,,7,2
fynn,westermeyer,,7,2
fynn,kantereit,,7,2
fynn,imueller,,7,2
wiese,fynn,2,7,2
bruehl,fynn,,7,2
witte,fynn,1,7,2
bornemann,fynn,,7,2
geldern,fynn,,7,2
drust,fynn,,7,2
michael,fynn,,7,2
urban,fynn,,7,2
kunze,fynn,,7,2
darell,fynn,,7,2
rasmussen,fynn,4,7,2
klein,fynn,4,7,2
neumann,fynn,,7,2
fynn,wiese,2,7,2
fynn,bruehl,,7,2
fynn,witte,1,7,2
fynn,bornemann,,7,2
fynn,geldern,,7,2
fynn,drust,,7,2
fynn,michael,,7,2
fynn,urban,,7,2
fynn,kunze,,7,2
fynn,darell,,7,2
fynn,rasmussen,4,7,2
fynn,klein,4,7,2
fynn,neumann,,7,2
fynn,haensel,1,7,2
haensel,fynn,1,7,2
haensel,vaay,,6,4
vaay,haensel,,6,4
karlsinvestions,fynn,,2,1
fynn,karlsinvestions,,2,1
erdbeerhof,fynn,,2,1
fynn,erdbeerhof,,2,1
schaefer,junker,,5,3
schaefer,frank,,5,3
junker,schaefer,,5,3
frank,schaefer,,5,3
junker,frank,,5,3
frank,junker,,5,3
