from,to,relationship,weight
gizeh,fynn,2,1
fynn,gizeh,2,1
fynn,agantty,1,4
fynn,fkvv,1,4
fynn,floss,1,4
fynn,oderso,1,4
fynn,texas,1,4
fynn,twofingers,1,4
fynn,herrlich,1,4
fynn,ldgg,1,4
orthmann,kliemannsland,1,4
orthmann,agantty,1,4
tietjen,twofingers,1,4
orthmann,fynn,3,3
bottmann,fynn,3,3
tietjen,fynn,3,3
fynn,orthmann,3,3
fynn,bottmann,3,3
fynn,tietjen,3,3
hinz,fynn,4,2
dissmann,fynn,4,2
formica,fynn,4,2
fynn,hinz,4,2
fynn,dissmann,4,2
fynn,formica,4,2
hinz,gizeh,5,4
dissmann,gizeh,5,4
formica,gizeh,5,4
